book_title,author_name,average_rating,no_of_languages,first_published
Abaddon’s Gate,James S. A. Corey,4.125,3,2013
Old Man’s War,John Scalzi,4.216495,1,2005
Star Wars - Ahsoka,E. K. Johnston,4.1,2,2016
Look to windward,Iain M. Banks,4.0333333,4,2000
The Last Colony,John Scalzi,3.732143,1,2007
Space Cadet,Robert A. Heinlein,4.428571,4,1948
The Algebraist,Iain M. Banks,3.7894738,4,2004
Triplanetary,E. D. Smith,3.7142856,1,1948
Downbelow station,C. J. Cherryh,2.875,1,1981
On Basilisk Station,David Weber,3.4285715,2,1993
Star Wars Episode I - The Phantom Menace,Terry Brooks,3.2,6,1995
The Hydrogen Sonata,Iain M. Banks,3.9230769,2,2012
We Are Legion: (We Are Bob),Dennis E. Taylor,4.2,2,2016
Embassytown,China Miéville,3.6,1,2011
"Tilting the Balance (Worldwar Series, Volume 2)",Harry Turtledove,3.3333333,3,1994
Space Viking,H. Beam Piper,2.0,1,1963
The Reality Dysfunction,Peter F. Hamilton,3.6818182,1,1996
Weapons & warfare: from the stone age to the space age,Milton Meltzer,5.0,1,1996
First Lensman,Edward Elmer Smith,4.3333335,1,1950
Nemesis Games,James S. A. Corey,4.428571,2,2015
Star Wars Trilogy,George Lucas,3.6666667,1,1985
Space Wolf,William King,3.5,1,2000
Cibola burn,James S. A. Corey,4.3333335,2,2014
Star Wars - The Old Republic - Revan,Drew Karpyshyn,4.0,1,2011
Star Wars - Darth Plagueis,James Luceno,4.25,2,2001
Zoe's Tale,John Scalzi,3.7931035,1,2008
Star Wars - Lost Stars,Claudia Gray,3.0,2,2015
Earth Unaware,Orson Scott Card,3.909091,3,2012
Earth Afire,Orson Scott Card,4.090909,3,2013
Ringworld's Children,Larry Niven,3.25,1,2001
Earth Awakens,Orson Scott Card,3.8888888,1,2014
The Ghost Brigades,John Scalzi,3.875,1,2006
Off Armageddon Reef,David Weber,3.5714285,1,2007
Star Wars - Tarkin,James Luceno,3.6666667,1,2014
Deep space,Ian Douglas,3.3333333,1,2013
The Ship Who Sang,Anne McCaffrey,4.111111,2,1969
Goodnight Moon,Margaret Wise Brown,4.1525426,10,1947
New Moon,Stephenie Meyer,4.1355934,13,2006
Emily of New Moon,Lucy Maud Montgomery,4.0,7,1923
Twilight,Stephenie Meyer,3.6380367,12,2005
